Term,Ses,Subject,Catalog,Sec,Class Nbr,Career,Course Name,Topic Name,School,Dept,Instr ID,Class Start Date,Class End Date,Mtg Start,Mtg End,M,T,W,Th,Fri,S,Su,Bldng/Room,Enrl Cap,Wait Cap,Class Stat,Min,Max,Component
2228,S,CHEM, 101,01,1110,UGRD,Chemistry of Life,,COS,CHEM,,8/29/22,12/17/22,,,,,,,,,,,45,100,Cancelled,3.00,3.00,LEC
2228,S,CHEM, 101,02,1111,UGRD,Chemistry of Life,,COS,CHEM,,8/29/22,12/17/22,,,,,,,,,,,35,0,Cancelled,3.00,3.00,LEC
2228,S,CHEM, 103,01,1112,UGRD,Chemistry of Health,,COS,CHEM,625,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,,T,,Th,,,,AF 207,24,100,Active,3.00,3.00,LEC
2228,S,MATH, 100,01,1113,UGRD,Lrning Math for Undestandng I,,COS,MATH,542,8/29/22,12/17/22,1:00:00 PM,2:15:00 PM,M,,W,,,,,SC 127,30,7,Active,3.00,3.00,LEC
2228,S,MATH, 100,02,1114,UGRD,Lrning Math for Undestandng I,,COS,MATH,395,8/29/22,12/17/22,2:30:00 PM,3:45:00 PM,M,,W,,,,,SC 129,30,7,Active,3.00,3.00,LEC
2228,S,MATH, 100,03,1115,UGRD,Lrning Math for Undestandng I,,COS,MATH,273,8/29/22,12/17/22,5:30:00 PM,6:45:00 PM,M,,W,,,,,SC 111,30,7,Active,3.00,3.00,LEC
2228,S,MATH, 100,04,1116,UGRD,Lrning Math for Undestandng I,,COS,MATH,931,8/29/22,12/17/22,11:30:00 AM,12:45:00 PM,,T,,Th,,,,SC 127,30,7,Active,3.00,3.00,LEC
2228,S,MATH, 100,05,1117,UGRD,Lrning Math for Undestandng I,,COS,MATH,447,8/29/22,12/17/22,4:00:00 PM,5:15:00 PM,,T,,Th,,,,BK 204,22,7,Active,3.00,3.00,LEC
2228,S,CHEM, 105,01,1118,UGRD,Chemistry of Environ Issues,,COS,CHEM,,8/29/22,12/17/22,,,,,,,,,,,0,100,Cancelled,3.00,3.00,LEC
2228,S,CHEM, 310,01,1119,UGRD,Analytical Chem I & Lab,,COS,CHEM,529,8/29/22,12/17/22,8:30:00 AM,9:45:00 AM,,T,,Th,,,,DH 101,14,0,Active,4.00,4.00,LEC
